Name	Level	School	Ritual	Casting Time	Range	Verbal	Somatic	Material	Materials	Concentration	Duration	Classes	Description
"Antilife Shell"	"5"	"abjuration"	"False"	"1 action"	"Self (10-foot radius)"	"True"	"True"	"False"	""	"True"	"Up to 1 hour"	"Druid"	"A shimmering barrier extends out from you in a 10-foot radius and moves with you, remaining centered on you and hedging out creatures other than Undead and Constructs.\n\nThe barrier lasts for the Duration. The barrier prevents an affected creature from passing or reaching through. An affected creature can cast Spells or make attacks with ranged or reach Weapons through the barrier.\n\nIf you move so that an affect creature is forced to pass through the barrier, the spell ends."
"Antimagic Field"	"8"	"abjuration"	"False"	"1 action"	"Self (10-foot-radius sphere)"	"True"	"True"	"True"	"A pinch of powdered iron or iron fillings"	"True"	"Up to 1 hour"	"Cleric, Wizard"	"A 10-foot-radius Invisible Sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the Sphere, Spells can't be cast, summoned creatures disappear, and even Magic Items become mundane. Until the spell ends, the Sphere moves with you, centered on you.\n\nSpells and other magical Effects, except those created by an artifact or a deity, are suppressed in the Sphere and can't protrude into it. A slot expended to cast a suppressed spell is consumed. While an Effect is suppressed, it doesn't function, but the time it spends suppressed counts against its Duration.\n\nTargeted Effects: Spells and other magical Effects, such as Magic Missile and Charm Person, that target a creature or an object in the Sphere have no Effect on that target.\n\nAreas of Magic: The area of another spell or magical Effect, such as Fireball, can't extend into the Sphere. If the Sphere overlaps an area of magic, the part of the area that is covered by the Sphere is suppressed. For example, the flames created by a Wall of Fire are suppressed within the Sphere, creating a gap in the wall if the overlap is large enough.\n\nSpells: Any active spell or other magical Effect on a creature or an object in the Sphere is suppressed while the creature or object is in it.\n\nMagic Items: The Properties and powers of Magic Items are suppressed in the Sphere. For example, a +1 long sword in the Sphere functions as a nonmagical long sword. A magic weapon's Properties and powers are suppressed if it is used against a target in the Sphere or wielded by an attacker in the Sphere. If a Magic Weapon or piece of magic Ammunition fully leaves the Sphere (For example, if you fire a Magic Arrow or throw a magic spear at a target outside the sphere), the magic of the item ceases to be suppressed as soon as it exits.\n\nMagical Travel: Teleportation and Planar Travel fail to work in the Sphere, whether the Sphere is the destination or the departure point for such magical Travel. A portal to another Location, world, or plane of existence, as well as an opening to an extradimensional space such as that created by the Rope Trick Spells, temporarily closes while in the Sphere.\n\nCreatures and Objects: A creature or object summoned or created by magic temporarily winks out of existence in the Sphere. Such a creature instantly reappears once the space the creature occupied is no longer within the Sphere.\n\nDispel Magic: Spells and magical Effects such as Dispel Magic have no Effect on the Sphere. Likewise, the spheres created by different antimagic field Spells don't nullify each other."
"Antipathy Sympathy"	"8"	"enchantment"	"False"	"1 hour"	"60 ft"	"True"	"True"	"True"	"Either a lump of alum soaked in vinegar for the antipathy effect or a drop of honey for the sympathy effect"	"False"	"10 days"	"Druid, Wizard"	"This spell attracts or repels creatures of your choice. You target something within range, either a Huge or smaller object or creature or an area that is no larger than a 200-foot cube. Then specify a kind of intelligent creature, such as Red Dragons, Goblins, or vampires. You invest the target with an aura that either attracts or repels the specified creatures for the Duration. Choose antipathy or sympathy as the aura's Effect.\n\nAntipathy. The Enchantment causes creatures of the kind you designated to feel an intense urge to leave the area and avoid the target. When such a creature can see the target or comes within 60 feet of it, the creature must succeed on a Wisdom saving throw or become Frightened. The creature remains frigh⁠tened while it can see the target or is within 60 feet of it. While frig⁠htened by the target, the creature must use its Movement to move to the nearest safe spot from which it can't see the target. If the creature moves more than 60 feet from the target and can't see it, the creature is no longer fright⁠ened, but the creature becomes fright⁠ened again if it regains sight of the target or moves within 60 feet of it.\n\nSympathy. The Enchantment causes the specified creatures to feel an intense urge to approach the target while within 60 feet of it or able to see it. When such a creature can see the target or comes within 60 feet of it, the creature must succeed on a Wisdom saving throw or use its Movement on each of its turns to enter the area or move within reach of the target. When the creature has done so, it can't willingly move away from the target. If the target damages or otherwise harms an affected creature, the affected creature can make a Wisdom saving throw to end the Effect, as described below.\n\nEnding the Effect. If an affected creature ends its turn while not within 60 feet of the target or able to see it, the creature makes a Wisdom saving throw. ON a successful save, the creature is no longer affected by the target and recognizes the feeling of repugnance or attraction as magical. In addition, a creature affected by the Spells is allowed another Wisdom saving throw every 24 hours while the spell persists.\n\nA creature that successfully saves against this Effect is immune to it for 1 minute, after which time it can be affected again."
"Antipathy Sympathy"	"8"	"enchantment"	"False"	"1 hour"	"60 ft"	"True"	"True"	"True"	"Either a lump of alum soaked in vinegar for the antipathy effect or a drop of honey for the sympathy effect"	"False"	"10 days"	"Druid, Wizard"	"This spell attracts or repels creatures of your choice. You target something within range, either a Huge or smaller object or creature or an area that is no larger than a 200-foot cube. Then specify a kind of intelligent creature, such as Red Dragons, Goblins, or vampires. You invest the target with an aura that either attracts or repels the specified creatures for the Duration. Choose antipathy or sympathy as the aura's Effect.\n\nAntipathy. The Enchantment causes creatures of the kind you designated to feel an intense urge to leave the area and avoid the target. When such a creature can see the target or comes within 60 feet of it, the creature must succeed on a Wisdom saving throw or become Frightened. The creature remains frigh⁠tened while it can see the target or is within 60 feet of it. While frig⁠htened by the target, the creature must use its Movement to move to the nearest safe spot from which it can't see the target. If the creature moves more than 60 feet from the target and can't see it, the creature is no longer fright⁠ened, but the creature becomes fright⁠ened again if it regains sight of the target or moves within 60 feet of it.\n\nSympathy. The Enchantment causes the specified creatures to feel an intense urge to approach the target while within 60 feet of it or able to see it. When such a creature can see the target or comes within 60 feet of it, the creature must succeed on a Wisdom saving throw or use its Movement on each of its turns to enter the area or move within reach of the target. When the creature has done so, it can't willingly move away from the target. If the target damages or otherwise harms an affected creature, the affected creature can make a Wisdom saving throw to end the Effect, as described below.\n\nEnding the Effect. If an affected creature ends its turn while not within 60 feet of the target or able to see it, the creature makes a Wisdom saving throw. ON a successful save, the creature is no longer affected by the target and recognizes the feeling of repugnance or attraction as magical. In addition, a creature affected by the Spells is allowed another Wisdom saving throw every 24 hours while the spell persists.\n\nA creature that successfully saves against this Effect is immune to it for 1 minute, after which time it can be affected again."
"Arcane Eye"	"4"	"divination"	"False"	"1 action"	"30 feet"	"True"	"True"	"True"	"A bit of bat fur"	"True"	"Up to 1 hour"	"Wizard"	"You create an Invisible, magical eye within range that hovers in the air for the Duration.\n\nYou mentally receive visual information from the eye, which has normal vision and Darkvision out to 30 feet. The eye can look in every direction.\n\nAs an action, you can move the eye up to 30 feet in any direction. There is no limit to how far away from you the eye can move, but it can't enter another plane of existence. A solid barrier blocks the eye's Movement, but the eye can pass through an opening as small as 1 inch in diameter."
"Arcane Hand"	"5"	"evocation"	"False"	"1 action"	"120 feet"	"True"	"True"	"True"	"An eggshell and a snakeskin glove"	"True"	"Up to 1 minute"	"Wizard"	"You create a Large hand of shimmering, translucent force in an unoccupied space that you can see within range. The hand lasts for the spell's Duration, and it moves at your Command, mimicking the movements of your own hand.\n\nThe hand is an object that has AC 20 and Hit Points equal to your hit point maximum. If it drops to 0 Hit Points, the spell ends. It has a Strength of 26 (+8) and a Dexterity of 10 (+0). The hand doesn't fill its space.\n\nWhen you cast the spell and as a Bonus Action on your subsequent turns, you can move the hand up to 60 feet and then cause one of the following Effects with it.\n\nClenched Fist. The hand strikes one creature or object within 5 feet of it. Make a melee spell Attack for the hand using your game Statistics. On a hit, the target takes 4d8 force damage.\n\nForceful Hand. The hand attempts to push a creature within 5 feet of it in a direction you choose. Make a check with the hand's Strength contested by the Strength (Athletics) check of the target. If the target is Medium or smaller, you have advantage on the check. If you succeed, the hand pushes the target up to 5 feet plus a number of feet equal to five times your Spellcasting Ability modifier. The hand moves with the target to remain within 5 feet of it.\n\nGrasping Hand. The hand attempts to grapple a Huge or smaller creature within 5 feet of it. You use the hand's Strength score to resolve the grapple. If the target is Medium or smaller, you have advantage on the check. While the hand is Grappling the target, you can use a Bonus Action to have the hand crush it. When you do so, the target takes bludgeoning damage equal to 2d6 + your Spellcasting Ability modifier.\n\nInterposing Hand. The hand interposes itself between you and a creature you choose until you give the hand a different Command. The hand moves to stay between you and the target, providing you with half cover against the target. The target can't move through the hand's space if its Strength score is less than or equal to the hand's Strength score. If its Strength score is higher than the hand's Strength score, the target can move toward you through the hand's space, but that space is Difficult Terrain for the target.\n\nAt Higher Levels: When you cast this spell using a spell slot of 6th level or higher, the damage from the clenched fist option increases by 2d8 and the damage from the grasping hand increases by 2d6 for each slot level above 5th."
"Arcane Lock"	"2"	"abjuration"	"False"	"1 action"	"Touch"	"True"	"True"	"True"	"Gold dust worth at least 25 gp, which the spell consumes"	"False"	"Until dispelled"	"Wizard"	"You touch a closed door, window, gate, chest, or other entryway, and it becomes locked for the Duration. You and the creatures you designate when you cast this spell can open the object normally. You can also set a password that, when spoken within 5 feet of the object, suppresses this spell for 1 minute. Otherwise, it is impassable until it is broken or the spell is dispelled or suppressed. Casting knock on the object suppresses arcane lock for 10 minutes.\n\nWhile affected by this spell, the object is more difficult to break or force open; the DC to break it or pick any locks on it increases by 10."
"Arcane Sword"	"7"	"evocation"	"False"	"1 action"	"60 feet"	"True"	"True"	"True"	"A miniature platinum sword with a grip and pommel of copper and zinc, worth 250 gp"	"True"	"Up to 1 minute"	"Bard, Wizard"	"You create a sword-shaped plane of force that hovers within range. It lasts for the Duration.\n\nWhen the sword appears, you make a melee spell Attack against a target of your choice within 5 feet of the sword. On a hit. the target takes 3d10 force damage. Until the spell ends, you can use a Bonus Action on each of your turns to move the sword up to 20 feet to a spot you can see and repeat this Attack against the same target or a different one."
"Arcanist'S Magic Aura"	"2"	"illusion"	"False"	"1 action"	"Touch"	"True"	"True"	"True"	"A small square of silk"	"False"	"24 hours"	"Wizard"	"You place an Illusion on a creature or an object you touch so that Divination Spells reveal false information about it. The target can be a willing creature or an object that isn't being carried or worn by another creature.\n\nWhen you cast the spell, choose one or both of the following Effects. The Effect lasts for the Duration. If you cast this spell on the same creature or object every day for 30 days, placing the same Effect on it each time, the Illusion lasts until it is dispelled.\n\nFalse Aura: You change the way the target appears to Spells and magical Effects, such as Detect Magic, that detect magical auras. You can make a nonmagical object appear magical, a magical object appear nonmagical, or change the object's magical aura so that it appears to belong to a specific school of magic that you choose. When you use this Effect on an object, you can make the false magic apparent to any creature that handles the item.\n\nMask: You change the way the target appears to Spells and magical Effects that detect creature types, such as a paladin's Divine Sense or the trigger of a Symbol spell. You choose a Creature Type and other Spells and magical Effects treat the target as if it were a creature of that type or of that Alignment."
"Astral Projection"	"9"	"necromancy"	"False"	"1 hour"	"10 feet"	"True"	"True"	"True"	"For each creature you affect with this spell, you must provide one jacinth worth at least 1,000 gp and one ornately carved bar of silver worth at least 100 gp, all of which the spell consumes"	"False"	"Special"	"Cleric, Warlock, Wizard"	"You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell fails and the casting is wasted if you are already on that plane). The material body you leave behind is Unconscious and in a state of suspended animation, it doesn't need food or air and doesn't age.\n\nYour astral body resembles your mortal form in almost every way, replicating your game Statistics and possessions. The principal difference is the addition of a silvery cord that extends from between your shoulder blades and trails behind you, fading to Invisibility after 1 foot. This cord is your tether to your material body. As long as the tether remains intact, you can find your way home. If the cord is cut-something that can happen only when an Effect specifically states that it does-your soul and body are separated, killing you instantly.\n\nYour astral form can freely Travel through the Astral Plane and can pass through Portals there leading to any other plane. If you enter a new plane or return to the plane you were on when casting this spell, your body and possessions are transported along the silver cord, allowing you to re-enter your body as you enter the new plane. Your astral form is a separate incarnation. Any damage or other Effects that apply to it have no Effect on your physical body, nor do they persist when you return to it.\n\nThe spell ends for you and your companions when you use your action to dismiss it. When the spell ends, the affected creature returns to its physical body, and it awakens.\n\nThe spell might also end early for you or one of your companions. A successful Dispel Magic spell used against an astral or physical body ends the spell for that creature. If a creature's original body or its astral form drops to 0 Hit Points, the spell ends for that creature. If the spell ends and the silver cord is intact, the cord pulls the creature's astral form back to its body, Ending its state of suspended animation.\n\nIf you are returned to your body prematurely, your companions remain in their astral forms and must find their own way back to their bodies, usually by Dropping to 0 Hit Points."
"Augury"	"2"	"divination"	"True"	"1 minute"	"Self"	"True"	"True"	"True"	"Specially marked sticks, bones, or similar tokens worth at least 25 gp"	"False"	"Instantaneous"	"Cleric"	"By casting gem-inlaid sticks, rolling Dragon bones, laying out ornate cards, or employing some other divining tool, you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from the following possible omens.\n\n• Weal, for good results\n\n• Woe, for bad results\n\n• Weal and woe, for both good and bad results\n\n• Nothing, for results that aren't especially good or bad\n\nThe spell doesn't take into account any possible circumstances that might change the outcome, such as the casting of additional Spells or the loss or gain of a companion.\n\nIf you cast the spell two or more times before completing your next Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in Secret."
"Awaken"	"5"	"transmutation"	"False"	"8 hours"	"Touch"	"True"	"True"	"True"	"An agate worth at least 1,000 gp, which the spell consumes"	"False"	"Instantaneous"	"Bard, Druid"	"After spending the Casting Time tracing magical pathways within a precious gemstone, you touch a huge or smaller beast or plant. The target must have either no Intelligence score or an Intelligence of 3 or less. The target gains an Intelligence of 10. The target also gains the ability to speak one language you know. If the target is a plant, it gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains Senses similar to a human's. Your DM chooses Statistics appropriate for the awakened plant, such as the Statistics for the Awakened Shrub or the Awakened Tree.\n\nThe awakened beast or plant is Charmed by you for 30 days or until you and your companions do anything harmful to it. When the Charmed condition ends, the awakened creature chooses whether to remain friendly to you, based on how you treated it while it was Charmed."
"Bane"	"1"	"enchantment"	"False"	"1 action"	"30 feet"	"True"	"True"	"True"	"A drop of blood"	"True"	"Up to 1 minute"	"Bard, Cleric"	"Up to three creatures of your choice that you can see within range must make Charisma Saving Throws. Whenever a target that fails this saving throw makes an Attack roll or a saving throw before the spell ends, the target must roll a d4 and subtract the number rolled from the Attack roll or saving throw.\n\nAt Higher Levels: When you cast this spell using a spell slot of 2nd Level or higher, you can target one additional creature for each slot level above 1st."
"Banishment"	"4"	"abjuration"	"False"	"1 action"	"60 feet"	"True"	"True"	"True"	"An item distasteful to the target"	"True"	"Up to 1 minute"	"Paladin, Cleric, Sorcerer, Warlock, Wizard"	"You attempt to send one creature that you can see within range to another place of existence. The target must succeed on a Charisma saving throw or be banished.\n\nIf the target is native to the plane of existence you're on, you banish the target to a harmless Demiplane. While there, the target is Incapacitated. The target remains there until the spell ends, at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.\n\nIf the target is native to a different plane of existence that the one you're on, the target is banished with a faint popping noise, returning to its home plane. If the spell ends before 1 minute has passed, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. Otherwise, the target doesn't return.\n\nAt Higher Levels: When you cast this spell using a spell slot of 5th Level or higher, you can target one additional creature for each slot level above 4th."
"Barkskin"	"2"	"transmutation"	"False"	"1 action"	"Touch"	"True"	"True"	"True"	"A handful of oak bark"	"True"	"Up to 1 hour"	"Druid, Ranger"	"You touch a willing creature. Until the spell ends, the target's skin has a rough, bark-like Appearance, and the target's AC can't be less than 16, regardless of what kind of armor it is wearing."
"Beacon Of Hope"	"3"	"abjuration"	"False"	"1 action"	"30 feet"	"True"	"True"	"False"	""	"True"	"Up to 1 minute"	"Cleric"	"This spell bestows hope and vitality. Choose any number of creatures within range. For the Duration, each target has advantage on Wisdom Saving Throws and Death Saving Throws, and regains the maximum number of Hit Points possible from any Healing."
"Bestow Curse"	"3"	"necromancy"	"False"	"1 action"	"Touch"	"True"	"True"	"False"	""	"True"	"Up to 1 minute"	"Bard, Cleric, Wizard"	"You touch a creature, and that creature must succeed on a Wisdom saving throw or become Cursed for the Duration of the spell. When you cast this spell, choose the Nature of the curse from the following options.\n\n• Choose one ability score. While Cursed, the target has disadvantage on Ability Checks and Saving Throws made with that ability score.\n\n• While Cursed, the target has disadvantage on Attack Rolls against you.\n\n• While Cursed, the target must make a Wisdom saving throw at the start of each of its turns. If it fails, it wastes its action that turn doing nothing.\n\n• While the target is Cursed, your attacks and Spells deal an extra 1d8 necrotic damage to the target.\n\nA Remove Curse spell ends this Effect. At the DM's option, you may choose an alternative curse Effect, but it should be no more powerful than those described above. The DM has final say on such a curse's Effect.\n\nAt Higher Levels: If you cast this spell using a spell slot of 4th Level or higher, the Duration is Concentration, up to 10 minutes. If you use a spell slot of 5th Level or higher, the Duration is 8 hours. If you use a spell slot of 7th level or higher, the Duration is 24 hours. If you use a 9th level spell slot, the spell lasts until it is dispelled. Using a spell slot of 5th Level or higher grants a Duration that doesn't require Concentration."
"Black Tentacles"	"4"	"conjuration"	"False"	"1 action"	"90 feet"	"True"	"True"	"True"	"A piece of tentacle from a giant octopus or a giant squid"	"True"	"Up to 1 minute"	"Wizard"	"Squirming, ebony tentacles fill a 20-foot square on ground that you can see within range. For the Duration, these tentacles turn the ground in the area into Difficult Terrain.\n\nWhen a creature enters the affected area for the first time on a turn or starts its turn there, the creature must succeed on a Dexterity saving throw or take 3d6 bludgeoning damage and be Restrained by the tentacles until the spell ends. A creature that starts its turn in the area and is already Restrained by the tentacles takes 3d6 bludgeoning damage.\n\nA creature Restrained by the tentacles can use its action to make a Strength or Dexterity check (its choice) against your spell save DC. On a success, it frees itself."
"Blade Barrier"	"6"	"evocation"	"False"	"1 action"	"90 feet"	"True"	"True"	"False"	""	"True"	"Up to 10 minutes"	"Cleric"	"You create a vertical wall of whirling, razor-sharp blades made of magical energy. The wall appears within range and lasts for the Duration. You can make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick. The wall provides three-quarters cover to creatures behind it, and its space is Difficult Terrain.\n\nWhen a creature enters the wall's area for the first time on a turn or starts its turn there, the creature must make a Dexterity saving throw. On a failed save, the creature takes 6d10 slashing damage. On a successful save, the creature takes half as much damage."
"Bless"	"1"	"enchantment"	"False"	"1 action"	"30 feet"	"True"	"True"	"True"	"A sprinkling of holy water"	"True"	"Up to 1 minute"	"Cleric, Paladin"	"You bless up to three creatures of your choice within range. Whenever a target makes an Attack roll or a saving throw before the spell ends, the target can roll a d4 and add the number rolled to the Attack roll or saving throw.\n\nAt Higher Levels: When you cast this spell using a spell slot of 2nd Level or higher, you can target one additional creature for each slot level above 1st."
